planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,o2,condition,ok for 0 hab skill,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,fauna_predictor_algorithm,flora_predictor_algorithm,fauna_result,flora_result
Rasalhague III,,RasalhagueIII,Gas giant,Planet,Gas giant Planet,Rasalhague,40,1.96,,,,Cold,H2,Strong,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,0,0,0,0,0,2,3,3,5,1,1,0,0,0
Rasalhague III-a,Rasalhague IV-a,RasalhagueIIIa,Ice,Moon,Ice Moon,Rasalhague,40,0.17,,,,Cold,None,None,Safe,"Cu,F,H20",3,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,0,0,0,0,0,3,3,1,1,6,0,0,0,0
Rasalhague III-b,Rasalhague IV-b,RasalhagueIIIb,Ice,Moon,Ice Moon,Rasalhague,40,0.05,,,,Cold,None,None,Safe,"Au,Cu,F,H20",4,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,0,0,0,0,0,3,3,1,1,6,0,0,0,0
Rasalhague IV,,RasalhagueIV,Barren,Planet,Barren Planet,Rasalhague,40,0.78,,,,Deep freeze,None,Average,None,"Fe,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,4,1,0,0,0,0
Rivera I,,RiveraI,Rock,Planet,Rock Planet,Rivera,35,1.81,,,,Cold,Extr M,Weak,Heavy metal,"Ar,C6Hn,Co,H20,Ni,Pb,Pt,U",8,Moderate (6),Moderate (6),"Archipelago,Desert-Rocky,Forest,Hills,Mountains,Ocean,Polar-Ice","Coastal,Desert,Forest,Hills,Mountains,Ocean,Ice",Unknown,66.7%,Yes,0,2,3,0,1,4,3,5,3,2,3,2,6,6
Rivera I-a,,RiveraIa,Rock,Moon,Rock Moon,Rivera,35,0.46,,,,Temperate,None,None,None,"Al,Be,Cl,H20,He-3,Nd,SiH3Cl",7,None,None,"Cratered,Polar-Ice","Cratered,Ice",Unknown,50.0%,No,0,0,0,0,2,4,4,1,1,1,0,0,0,0
Rivera II,,RiveraII,Rock,Planet,Rock Planet,Rivera,35,1.06,,,,Deep freeze,None,Very strong,None,"Ag,Cl,H20,Hg,Ni,Pb",6,None,None,"Hills,Mountains,Ocean,SavannahBarren","Hills,Mountains,Ocean,Savannah",Unknown,50.0%,No,1,0,0,0,1,4,1,1,6,1,0,0,0,0
Rivera II-a,,RiveraIIa,Barren,Moon,Barren Moon,Rivera,35,0.16,,,,Deep freeze,None,None,None,"Al,Be,He-3,Nd",4,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Rivera II-b,,RiveraIIb,Barren,Moon,Barren Moon,Rivera,35,0.09,,,,Deep freeze,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Rivera II-c,,RiveraIIc,Barren,Moon,Barren Moon,Rivera,35,0.10,,,,Deep freeze,None,None,None,"Al,Eu,He-3",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Rivera III,,RiveraIII,Barren,Planet,Barren Planet,Rivera,35,0.65,,,,Deep freeze,None,Average,None,"Fe,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,4,1,0,0,0,0
Rivera IV,,RiveraIV,Barren,Planet,Barren Planet,Rivera,35,0.73,,,,Deep freeze,None,Powerful,None,"Fe,He-3,HnCn",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,7,1,0,0,0,0
Rivera IV-a,,RiveraIVa,Barren,Moon,Barren Moon,Rivera,35,0.15,,,,Deep freeze,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Rivera V,,RiveraV,Ice giant,Planet,Ice giant Planet,Rivera,35,1.02,,,,Deep freeze,H2,Average,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,1,0,0,0,0,2,1,3,4,1,0,0,0,0
Rivera V-a,,RiveraVa,Ice,Moon,Ice Moon,Rivera,35,0.03,,,,Deep freeze,None,None,Chemical,"H20,Ni,Pt",3,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0,0
Rutherford I,,RutherfordI,Barren,Planet,Barren Planet,Rutherford,45,0.96,,,,Inferno,Std CO2,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,3,0,2,3,7,4,1,1,0,0,0*,0*
Rutherford I-a,,RutherfordIa,Barren,Moon,Barren Moon,Rutherford,45,0.25,,,,Inferno,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,CHECK,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Rutherford I-b,,RutherfordIb,Barren,Moon,Barren Moon,Rutherford,45,0.10,,,,Inferno,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Rutherford II,,RutherfordII,Rock,Planet,Rock Planet,Rutherford,45,0.76,,,,Inferno,Extr CO2,Very strong,None,"Cl,Ni,Pb,Pt",4,Unknown,Unknown,"Desert-Rocky,Hills","Desert,Hills",Unknown,37.5%,No,1,2,3,0,1,4,7,4,6,1,0,0,0*,0*
Rutherford II-a,,RutherfordIIa,Barren,Moon,Barren Moon,Rutherford,45,0.08,,,,Scorched,None,None,None,"Al,He-3,Nd",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,6,1,1,1,0,0,0*,0*
Rutherford III,,RutherfordIII,Rock,Planet,Rock Planet,Rutherford,45,0.71,,,,Temperate,Std O2,Very strong,Heavy metal,"Ar,Cl,H20,Li,Pb,SiH3Cl",6,Unknown,Unknown,"Archipelago,Forest,Ocean,Polar-Ice,SavannahBarren","Coastal,Forest,Ocean,Ice,Savannah",Unknown,79.2%,Yes,0,0,0,0,0,4,4,6,6,2,3,3,3*,3*
Rutherford III-a,,RutherfordIIIa,Barren,Moon,Barren Moon,Rutherford,45,0.11,,,,Temperate,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Rutherford IV,,RutherfordIV,Gas giant,Planet,Gas giant Planet,Rutherford,45,4.49,,,,Frozen,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,0,0,0,4,0,2,2,3,8,1,0,0,0*,0*
Rutherford IV-a,,RutherfordIVa,Ice,Moon,Ice Moon,Rutherford,45,0.34,,,,Frozen,None,None,Chemical,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,1,3,2,1,1,3,0,0,0*,0*
Rutherford IV-b,,RutherfordIVb,Ice,Moon,Ice Moon,Rutherford,45,0.10,,,,Frozen,None,None,Safe,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,1,3,2,1,1,6,0,0,0*,0*
Rutherford IV-c,,RutherfordIVc,Ice,Moon,Ice Moon,Rutherford,45,0.14,,,,Frozen,None,None,Chemical,"Ar,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0*,0*
Rutherford IV-d,,RutherfordIVd,Rock,Moon,Rock Moon,Rutherford,45,0.33,,,,Frozen,Thin M,None,Heavy metal,"Al,Ar,C6Hn,H20,He-3,Ir,U,V",8,Unknown,Unknown,"Cratered,Desert-Rocky,Mountains,Polar-Ice","Cratered,Desert,Mountains,Ice",Unknown,62.5%,Yes,0,0,3,0,2,4,2,5,1,2,0,0,0*,0*
Rutherford IV-e,,RutherfordIVe,Ice,Moon,Ice Moon,Rutherford,45,0.04,,,,Frozen,None,None,Safe,"Ar,H20,Ne,R-COC",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Rutherford V,,RutherfordV,Ice giant,Planet,Ice giant Planet,Rutherford,45,0.76,,,,Frozen,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,0,0,0,0,0,2,2,3,3,1,0,0,0*,0*
Rutherford V-a,,RutherfordVa,Rock,Moon,Rock Moon,Rutherford,45,0.53,,,,Deep freeze,Thin O2,None,Safe,"Cu,H20,Pb,Ti",4,Unknown,Unknown,"Ocean,Polar-Ice,Tablelands,Wetlands","Ocean,Ice,Tablelands,Wetlands",Unknown,62.5%,Yes,1,0,0,0,0,4,1,6,1,6,0,0,0*,0*
Rutherford V-b,,RutherfordVb,Rock,Moon,Rock Moon,Rutherford,45,0.34,,,,Frozen,Thin M,None,Chemical,"Cl,Fe,H20,He-3,Hg,Pb,SiH3Cl,U",8,Unknown,Unknown,"Cratered,Desert-Sandy,Mountains,Polar-Ice","Cratered,Desert,Mountains,Ice",Unknown,62.5%,Yes,0,0,3,0,2,4,2,5,1,3,0,0,0*,0*
Rutherford VI,,RutherfordVI,Gas giant,Planet,Gas giant Planet,Rutherford,45,2.17,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Rutherford VI-a,,RutherfordVIa,Rock,Moon,Rock Moon,Rutherford,45,0.37,,,,Deep freeze,Thin N2,None,Chemical,"Al,Be,Cl,Cs,H20,He-3,Nd,U",8,Unknown,Unknown,"Cratered,Desert-Rocky,Polar-Ice","Cratered,Desert,Ice",Unknown,45.8%,Yes,1,0,0,0,2,4,1,2,1,3,0,0,0*,0*
Rutherford VI-b,,RutherfordVIb,Ice,Moon,Ice Moon,Rutherford,45,0.14,,,,Deep freeze,None,None,Heavy metal,"Cu,H20,Sb",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,2,0,0,0*,0*
Rutherford VI-c,,RutherfordVIc,Ice,Moon,Ice Moon,Rutherford,45,0.03,,,,Deep freeze,None,None,Safe,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Rutherford VI-d,,RutherfordVId,Ice,Moon,Ice Moon,Rutherford,45,0.15,,,,Deep freeze,None,None,Chemical,"H20,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Sagan I,,SaganI,Ice,Planet,Ice Planet,Sagan,15,0.11,,,,Deep freeze,None,None,None,"Co,H20,Ni",3,None,None,Unknown,Unknown,Unknown,33.3%,No,1,0,0,0,1,3,1,1,1,1,0,0,0,0
Bonner,,Bonner,Gas giant,Planet,Gas giant Planet,Sakharov,15,1.20,,,,Deep freeze,H2,None,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,1,1,0,0,0*,0*
Mir II,Mir,MirII,Barren,Moon,Barren Moon,Sakharov,15,0.09,,,,Deep freeze,None,None,None,"Al,He-3",2,Unknown,Unknown,Unknown,Unknown,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Schrodinger I,,SchrodingerI,Barren,Planet,Barren Planet,Schrodinger,65,1.25,,,,Inferno,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Schrodinger I-a,,SchrodingerIa,Barren,Moon,Barren Moon,Schrodinger,65,0.17,,,,Inferno,None,None,None,"Al,Be,He-3",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Schrodinger II,,SchrodingerII,Rock,Planet,Rock Planet,Schrodinger,65,1.19,,,,Inferno,Std CO2,Powerful,None,"Ad,Cl,Pb,Pu,SiH3Cl,Ti,U,W",8,None,None,"Desert-Rocky,Hills,Mountains,SavannahBarren","Desert,Hills,Mountains,Savannah","Active Faulting, Continual Conductor, Extinction Event",50.0%,No,1,0,3,0,1,4,7,4,7,1,0,0,0,0
Schrodinger III,,SchrodingerIII,Rock,Planet,Rock Planet,Schrodinger,65,1.07,,,,Temperate,Std O2,Average,Safe,"Ar,Cl,Co,Fe,H20,Ni",6,Abundant (9),Abundant (8),"Desert-Sandy,Hills,Mountains,Ocean,Polar-Ice","Desert,Hills,Mountains,Ocean,Ice","Ecological Consortium, Global Glacial Recession",100.0%,Yes,0,0,0,0,2,4,4,6,4,6,4,4,9,8
Schrodinger III-a,,SchrodingerIIIa,Barren,Moon,Barren Moon,Schrodinger,65,0.35,,,,Temperate,None,None,None,"Al,Be,He-3,Nd",4,None,None,Cratered,Cratered,Unknown,50.0%,No,0,0,0,0,2,3,4,1,1,1,0,0,0,0
Schrodinger IV,,SchrodingerIV,Rock,Planet,Rock Planet,Schrodinger,65,0.61,,,,Temperate,Std O2,Weak,Safe,"Al,C6Hn,Cl,Cu,F,H20,Nd,SiH3Cl",8,Marginal (3),Marginal (5),"Archipelago,Forest,Ocean,Polar-Ice,SavannahBarren","Coastal,Forest,Ocean,Ice,Savannah",Unknown,83.3%,Yes,0,0,0,0,1,4,4,6,3,6,4,3,3,5
Schrodinger V,,SchrodingerV,Rock,Planet,Rock Planet,Schrodinger,65,1.18,,,,Cold,Std M,Average,Safe,"H20,Ir,Ni,U,V",5,None,None,"Polar-Ice,Volcanic","Ice,Volcanic",Unknown,41.7%,Yes,0,0,3,0,1,4,3,5,4,6,5,4,0,0
Schrodinger V-a,,SchrodingerVa,Barren,Moon,Barren Moon,Schrodinger,65,0.13,,,,Cold,None,None,None,"Fe,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,0,0,0,0,2,3,3,1,1,1,0,0,0,0
Schrodinger VI,,SchrodingerVI,Gas giant,Planet,Gas giant Planet,Schrodinger,65,4.18,,,,Frozen,H2,Extreme,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,0,0,0,4,0,2,2,3,8,1,0,0,0,0
Schrodinger VI-a,,SchrodingerVIa,Ice,Moon,Ice Moon,Schrodinger,65,0.05,,,,Frozen,None,None,Chemical,"Ag,H20,Hg,Pb",4,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0,0
Schrodinger VI-b,,SchrodingerVIb,Ice,Moon,Ice Moon,Schrodinger,65,0.02,,,,Frozen,None,None,Chemical,"Cu,F,H20",3,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0,0
Schrodinger VI-c,,SchrodingerVIc,Rock,Moon,Rock Moon,Schrodinger,65,0.33,,,,Frozen,Thin CO2,None,Safe,"Ar,Fe,H20,HnCn,Ne,Pb,R-COC,Ta",8,None,None,"Cratered,Desert-Rocky,Mountains,Polar-Ice","Cratered,Desert,Mountains,Ice",Unknown,58.3%,Yes,0,0,3,0,1,4,2,4,1,6,0,0,0,0
Schrodinger VII,,SchrodingerVII,Ice giant,Planet,Ice giant Planet,Schrodinger,65,0.98,,,,Deep freeze,H2,Weak,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,1,0,0,0,0,2,1,3,3,1,0,0,0,0
Schrodinger VII-a,,SchrodingerVIIa,Barren,Moon,Barren Moon,Schrodinger,65,0.28,,,,Deep freeze,None,None,None,"Al,Be,He-3,Nd",4,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Schrodinger VII-b,,SchrodingerVIIb,Ice,Moon,Ice Moon,Schrodinger,65,0.26,,,,Deep freeze,None,None,Safe,"Ar,H20,Ne",3,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0,0
Schrodinger VII-c,,SchrodingerVIIc,Ice,Moon,Ice Moon,Schrodinger,65,0.30,,,,Deep freeze,None,None,Chemical,"Ar,C6Hn,H20",3,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0,0
Schrodinger VIII,,SchrodingerVIII,Gas giant,Planet,Gas giant Planet,Schrodinger,65,2.01,,,,Deep freeze,H2,Strong,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,1,0,0,4,0,2,1,3,5,1,0,0,0,0
Schrodinger VIII-a,,SchrodingerVIIIa,Rock,Moon,Rock Moon,Schrodinger,65,0.58,,,,Temperate,Thin O2,Weak,Safe,"Cl,Co,Fe,H20,HnCn,Ni,Pb,U",8,Marginal (3),Marginal (4),"Archipelago,Forest,Mountains,Ocean,SavannahBarren","Coastal,Forest,Mountains,Ocean,Savannah",Unknown,100.0%,Yes,0,0,0,0,2,4,4,6,3,6,4,3,3,4
Schrodinger VIII-b,,SchrodingerVIIIb,Ice,Moon,Ice Moon,Schrodinger,65,0.26,,,,Deep freeze,None,None,Chemical,"Cu,H20,xF4",3,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0,0
Schrodinger VIII-c,,SchrodingerVIIIc,Ice,Moon,Ice Moon,Schrodinger,65,0.23,,,,Deep freeze,None,None,Chemical,"Cl,H20",2,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0,0
Schrodinger VIII-d,,SchrodingerVIIId,Ice,Moon,Ice Moon,Schrodinger,65,0.17,,,,Deep freeze,None,None,Safe,"Cl,H20,SiH3Cl",3,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0,0
Schrodinger VIII-e,,SchrodingerVIIIe,Rock,Moon,Rock Moon,Schrodinger,65,0.41,,,,Deep freeze,Thin N2,None,Safe,"Cl,Dy,Fe,H20,Li,Pb",6,None,None,"Hills,Mountains,Ocean,Polar-Ice","Hills,Mountains,Ocean,Ice",Unknown,58.3%,Yes,1,0,0,0,1,4,1,2,1,6,0,0,0,0
Dur'aas,Serpentis VI-a,SerpentisVIa,Rock,Moon,Rock Moon,Serpentis,55,0.67,,,,Frozen,Std M,None,Heavy metal,"Ar,H2O,U",3,Unknown,Unknown,"Desert-Rocky,Polar-Ice","Desert,Ice",Emerging Tectonics,45.8%,Yes,0,0,3,0,0,4,2,5,1,2,0,0,0*,0*
Ha'kuur,Serpentis VI-b,SerpentisVIb,Ice,Moon,Ice Moon,Serpentis,55,0.06,,,,Frozen,None,None,Chemical,"Ar,C6Hn,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Solar Storm Seasons,45.8%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0*,0*
Ha'yaan,Serpentis II-a,SerpentisIIa,Barren,Moon,Barren Moon,Serpentis,55,0.21,,,,Temperate,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Ma'zriic,Serpentis VI,SerpentisVI,Gas giant,Planet,Gas giant Planet,Serpentis,55,1.46,,,,Frozen,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,45.8%,No,0,0,0,0,0,2,2,3,5,1,0,0,0*,0*
N'vaar,Serpentis III,SerpentisIII,Rock,Planet,Rock Planet,Serpentis,55,1.28,,,,Temperate,High CO2,Average,Biological,"Cu,F,H20,Pb",4,Unknown,Unknown,"Archipelago,Ocean,Polar-Ice","Coastal,Ocean,Ice",Unknown,62.5%,Yes,0,2,3,0,0,4,4,4,4,5,3,2,3*,2*
Na'fiis,Serpentis II-b,SerpentisIIb,Barren,Moon,Barren Moon,Serpentis,55,0.29,,,,Temperate,None,None,None,,0,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,0,3,4,1,1,1,0,0,0*,0*
Pavruuna,Serpentis V,SerpentisV,Gas giant,Planet,Gas giant Planet,Serpentis,55,2.96,,,,Frozen,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,0,0,0,4,0,2,2,3,8,1,0,0,0*,0*
Ruul,Serpentis I,SerpentisI,Barren,Planet,Barren Planet,Serpentis,55,0.31,,,,Inferno,None,Weak,None,"Al,He-3,U,V",4,Unknown,Unknown,"Cratered,Volcanic","Cratered,Volcanic",Unknown,45.8%,No,1,0,0,0,2,3,7,1,3,1,0,0,0*,0*
Serpentis II,Serpentis II,SerpentisII,Rock,Planet,Rock Planet,Serpentis,55,1.33,,,,Temperate,High O2,Average,Biological,"Al,Be,Cl,H20,Li,Pb,SiH3Cl,W",8,Unknown,Unknown,"Archipelago,Desert-Sandy,Forest,Mountains,Ocean,Polar-Ice,SavannahBarren","Coastal,Desert,Forest,Mountains,Ocean,Ice,Savannah",Unknown,62.5%,Yes,0,2,0,0,2,4,4,6,4,5,4,3,4*,3*
Serpentis IV,Serpentis IV,SerpentisIV,Rock,Planet,Rock Planet,Serpentis,55,0.88,,,,Temperate,High O2,Average,Chemical,,0,Unknown,Unknown,"Forest,Mountains,Ocean,Polar-Ice,SavannahBarren,Wetlands","Forest,Mountains,Ocean,Ice,Savannah,Wetlands",Unknown,70.8%,Yes,0,2,0,0,0,4,4,6,4,3,4,3,4*,3*
Serpentis IV-a,Pol'diin,SerpentisIVa,Barren,Moon,Barren Moon,Serpentis,55,0.09,,,,Temperate,None,None,None,"Al,Be,He-3,Nd",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Serpentis V-a,Pol'diin,SerpentisVa,Ice,Moon,Ice Moon,Serpentis,55,0.09,,,,Frozen,None,None,Heavy metal,"Co,H2O,Ni,Pd",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,79.2%,Yes,0,0,0,0,1,3,2,1,1,2,0,0,0*,0*
Serpentis V-b,,SerpentisVb,Ice,Moon,Ice Moon,Serpentis,55,0.14,,,,Frozen,None,None,Safe,"H2O,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,79.2%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Serpentis V-c,,SerpentisVc,Ice,Moon,Ice Moon,Serpentis,55,0.16,,,,Frozen,None,None,Chemical,"Ar,H2O",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,54.2%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0*,0*
Serpentis V-d,,SerpentisVd,Rock,Moon,Rock Moon,Serpentis,55,0.36,,,,Frozen,Thin N2,None,Safe,"Al,Be,Co,Fe,H2O,He-3,HnCn,Ni",8,Unknown,Unknown,"Cratered,Hills,Mountains,Polar-Ice","Cratered,Hills,Mountains,Ice",Unknown,62.5%,Yes,0,0,0,0,4,4,2,2,1,6,0,0,0*,0*
Shoza I,,ShozaI,Rock,Planet,Rock Planet,Shoza,35,0.63,,,,Inferno,Std CO2,Weak,None,"Cu,H20,Ir,U",4,Unknown,Unknown,"Desert-Rocky,Polar-Ice,SavannahBarren,Tablelands","Desert,Ice,Savannah,Tablelands",Unknown,37.5%,No,1,0,3,0,0,4,7,4,3,1,0,0,0*,0*
Shoza I-a,,ShozaIa,Barren,Moon,Barren Moon,Shoza,35,0.10,,,,Inferno,None,None,None,"Fe,He-3,Yb",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Shoza II,,ShozaII,Rock,Planet,Rock Planet,Shoza,35,1.52,24%,None,No,Temperate,Extr O2,Average,Biological,"Ag,Cl,Co,Cu,H20,Ni,Pb",7,Moderate (9),Moderate (7),"Archipelago,Desert-Sandy,Forest-Deciduous,Mountains,Ocean,Polar-Ice,Volcanic","Coastal,Desert,Forest,Mountains,Ocean,Ice,Volcanic",Unknown,100.0%,Yes,0,2,0,0,1,4,4,6,4,5,4,3,9,7
Shoza II-a,,ShozaIIa,Rock,Moon,Rock Moon,Shoza,35,0.42,,,,Temperate,Thin CO2,None,None,"Al,Cl,Co,H20,He-3,Ni,SiH3Cl,U",8,Unknown,Unknown,"Cratered,Desert-Rocky,Desert-Sandy,Hills","Cratered,Desert,Hills",Unknown,54.2%,No,0,0,3,0,3,4,4,4,1,1,2,2,2*,2*
Shoza III,,ShozaIII,Rock,Planet,Rock Planet,Shoza,35,1.25,,,,Temperate,High O2,Powerful,Safe,"Al,Cl,Cu,F,H20,Li,Pb,SiH3Cl",8,Abundant (10),Abundant (8),Unknown,Unknown,"Ecological Consortium,Psychotropic Biota",83.3%,Yes,0,2,0,0,1,4,4,6,7,6,7,6,10,8
Shoza III-a,,ShozaIIIa,Barren,Moon,Barren Moon,Shoza,35,0.16,,,,Temperate,None,None,None,"Al,Be,He-3,Nd",4,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Shoza IV,,ShozaIV,Rock,Planet,Rock Planet,Shoza,35,1.64,,,,Temperate,High O2,Average,Chemical,"Ar,C6Hn,Co,H20,Ni,Pb,Pt,R-COC",8,Unknown,Unknown,"Desert-Rocky,Forest,Mountains,Ocean,Polar-Ice,SavannahBarren","Desert,Forest,Mountains,Ocean,Ice,Savannah",Unknown,95.8%,Yes,0,2,0,0,1,4,4,6,4,3,4,3,4*,3*
Shoza IX,,ShozaIX,Ice,Planet,Ice Planet,Shoza,35,0.08,,,,Deep freeze,None,None,Safe,"Cl,H20,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Shoza V,,ShozaV,Rock,Planet,Rock Planet,Shoza,35,1.48,,,,Cold,High M,Average,None,"Ar,Cu,F,H20,Pb,R-COC,W",7,Unknown,Unknown,"Desert-Rocky,Polar-Ice,SavannahBarren","Desert,Ice,Savannah",Unknown,37.5%,No,0,2,3,0,1,4,3,5,4,1,2,2,2*,2*
Shoza VI,,ShozaVI,Ice giant,Planet,Ice giant Planet,Shoza,35,1.39,,,,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,3,1,0,0,0*,0*
Shoza VI-a,,ShozaVIa,Ice,Moon,Ice Moon,Shoza,35,0.12,,,,Deep freeze,None,None,Safe,"Cu,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Shoza VII,,ShozaVII,Gas giant,Planet,Gas giant Planet,Shoza,35,5.88,,,,Deep freeze,H2,Massive,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Shoza VII-a,,ShozaVIIa,Rock,Moon,Rock Moon,Shoza,35,0.37,,,,Deep freeze,Thin N2,None,None,"Al,Cu,F,H20,He-3,Pb,W",7,Unknown,Unknown,"Cratered,Desert-Rocky,Polar-Ice","Cratered,Desert,Ice",Unknown,37.5%,No,1,0,0,0,3,4,1,2,1,1,0,0,0*,0*
